,backers_count,category,pledged,state,blurb_length,goal_in_usd,campaign_duration,sub_category
5102,104,music,5654.0,1,21.0,5000.0,30,pop
5103,103,music,1556.1,0,24.0,5000.0,30,world music
5104,60,publishing,913.0,1,19.0,649.7,28,poetry
5105,4,photography,978.0,0,10.0,159840.0,60,photobooks
5106,134,photography,8707.0,1,17.0,4240.45,23,photobooks
5107,168,music,9291.0,1,20.0,5753.0,30,world music
5108,93,music,11690.0,1,19.0,6000.0,34,pop
5109,32,publishing,1236.0,1,8.0,1200.0,30,anthologies
5110,0,photography,0.0,0,18.0,2335.5,27,nature
5111,3,photography,22.0,0,16.0,1000.0,50,people
5112,1,photography,10.0,0,20.0,1859.28,30,places
5113,5,"photography"",""position"":12,""color"":58341,""urls"":{""web"":{""discover"":""http:",175.0,1,18.0,174.21,13,
5114,0,photography,0.0,0,18.0,3000.0,30,places
5115,153,music,10593.0,1,20.0,10000.0,30,r&b
5116,1,photography,100.0,0,21.0,10000.0,45,places
5117,38,photography,12405.0,1,17.0,13567.8,60,fine art
5118,2,photography,27.0,0,18.0,495.0,30,places
5119,56,publishing,1871.0,1,13.0,1500.0,30,fiction
5120,389,photography,43142.0,1,19.0,20000.0,30,photobooks
5121,2,photography,8.0,0,22.0,820.58,30,fine art
5122,176,publishing,12655.0,1,21.0,12000.0,60,children's books
5123,31,photography,1685.0,1,22.0,1500.0,37,photobooks
5124,5,photography,230.0,0,17.0,10000.0,10,photobooks
5125,20,music,1023.0,1,16.0,1000.0,60,pop
5126,0,photography,0.0,0,22.0,250.0,30,fine art
5127,400,publishing,11172.0,1,6.0,4500.0,30,anthologies
5128,3,photography,45.0,0,21.0,2990.79,20,photobooks
5129,43,publishing,6021.0,1,14.0,6000.0,50,children's books
5130,67,publishing,5473.32,1,20.0,3806.05,25,children's books
5131,89,publishing,4839.0,1,25.0,4500.0,21,children's books
5132,196,photography,13365.0,1,19.0,12000.0,30,photobooks
5133,0,music,0.0,0,22.0,550.0,60,punk
5134,158,photography,29248.0,1,21.0,20000.0,30,photobooks
5135,76,music,5110.0,1,9.0,5000.0,30,r&b
5136,246,publishing,15360.0,1,19.0,15000.0,30,children's books
5137,59,photography,8342.0,1,8.0,9049.26,31,photobooks
5138,40,photography,2500.0,1,21.0,2823.32,45,people
5139,4,photography,30.0,1,25.0,25.0,30,photobooks
5140,130,publishing,4560.0,1,6.0,5978.02,16,nonfiction
5141,99,publishing,9073.0,1,20.0,8200.0,25,academic
5142,150,music,13378.0,1,14.0,13000.0,31,pop
5143,0,music,0.0,0,29.0,50000.0,57,r&b
5144,2,publishing,11.0,0,4.0,5000.0,9,anthologies
5145,69,photography,1951.0,1,15.0,400.0,23,photobooks
5146,0,photography,0.0,0,27.0,20000.0,30,people
5147,12,music,1041.0,0,19.0,27500.0,35,r&b
5148,103,music,6232.01,1,18.0,3945.0,30,world music
5149,65,photography,7112.0,1,12.0,4900.0,24,people
5150,41,photography,15179.0,1,21.0,8500.0,30,fine art
5151,34,publishing,2000.0,1,18.0,2000.0,60,fiction
5152,88,music,5647.01,1,23.0,5000.0,30,pop
5153,1,photography,1.0,0,15.0,20000.0,32,people
5154,120,photography,13316.0,1,20.0,16506.73,45,photobooks
5155,32,music,10131.0,1,18.0,10000.0,35,pop
5156,2,photography,6.0,0,15.0,5343.75,30,animals
5157,1,music,1.0,0,23.0,15993.29,30,world music
5158,1,"photography"",""position"":12,""color"":58341,""urls"":{""web"":{""discover"":""http:",250.0,1,29.0,259.87,30,
5159,143,music,6470.0,1,21.0,5000.0,31,rock
5160,6,music,261.0,0,19.0,15000.0,60,world music
5161,5,photography,133.0,0,17.0,1132.21,60,people
5162,351,publishing,67175.17,1,14.0,7618.22,30,nonfiction
5163,62,photography,4826.0,1,21.0,1764.6,31,photobooks
